@relation whatever

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 numeric
@attribute F22 numeric
@attribute class { abnormal , normal } 


@data
27773.38795 , 433.62263 , 0.861174389 , 0.861174389 , 99608378.75 , -51382.06986 , 11.36663319 , 0.000309535 , 8.656272378 , 0.26850165 , 0.19684217 , 0.004756482 , 28023.47707 , 325.138171 , 107864.5001 , 5.682141079 , 433.62263 , 3.401346482 , -0.276744719 , 0.968020864 , 0.960808604 , 0.99405563 , abnormal 
19905.63677 , 719.2210312 , 0.900413879 , 0.900413879 , 493945338.3 , 171171.9932 , 14.65876231 , 0.000858635 , 8.967862032 , 0.262346511 , 0.196913607 , 0.025292139 , 20274.68633 , 258.0981942 , 77331.90271 , 5.898255892 , 719.2210312 , 3.623354587 , -0.295193319 , 0.976893263 , 0.9510244 , 0.990499964 , abnormal 
15001.27025 , 340.8454438 , 0.89798082 , 0.89798082 , 135631504.4 , -73854.36547 , 10.83844033 , 0.000261528 , 8.870984712 , 0.254943585 , 0.181272934 , 0.001663491 , 15179.05052 , 232.3908861 , 57706.77698 , 5.749375939 , 340.8454438 , 3.388979515 , -0.254948797 , 0.961040104 , 0.96193039 , 0.99517693 , abnormal 
16891.11742 , 847.127473 , 0.795393358 , 0.795393358 , 157987724.8 , -266084.3072 , 15.9895666 , 0.000207492 , 9.079321177 , 0.226078074 , 0.158408621 , 0.00347392 , 17327.98818 , 246.9412913 , 65576.88723 , 5.80794616 , 847.127473 , 3.724167749 , -0.234003914 , 0.952649694 , 0.947048954 , 0.989116819 , abnormal 
15885.91338 , 489.5768422 , 0.906714231 , 0.906714231 , 247526843.6 , -59394.15844 , 12.31529025 , 0.00038388 , 8.887079834 , 0.27011711 , 0.201291805 , 0.008845676 , 16114.30811 , 232.4412002 , 61341.47045 , 5.864169655 , 489.5768422 , 3.472324503 , -0.290284307 , 0.974715114 , 0.957810319 , 0.993227542 , abnormal 
16518.69714 , 765.8045456 , 0.861171388 , 0.861171388 , 299157644.8 , 355053.0334 , 15.80298044 , 0.000182241 , 9.248097238 , 0.224377448 , 0.157180343 , 0.004591643 , 16916.80006 , 237.8432295 , 64036.58702 , 5.969569114 , 765.8045456 , 3.72884794 , -0.252430545 , 0.963881507 , 0.94712401 , 0.989841183 , abnormal 
22070.00878 , 276.5380734 , 0.938885467 , 0.938885467 , 228218637.3 , -391453.234 , 9.153898786 , 0.000398695 , 8.642851909 , 0.296285037 , 0.222979655 , 0.002956282 , 22180.18019 , 282.465622 , 85282.91145 , 5.855488741 , 276.5380734 , 3.195953775 , -0.330089552 , 0.983285436 , 0.967730404 , 0.996049911 , abnormal 
20953.99269 , 44.79312549 , 0.992937466 , 0.992937466 , 315855673.8 , 382610.9075 , 4.183434423 , 0.000403589 , 8.313547775 , 0.371156095 , 0.292276778 , 0.004543812 , 21001.96413 , 266.9148329 , 80704.54132 , 5.979389911 , 44.79312549 , 2.517354687 , -0.429644337 , 0.994638267 , 0.984288582 , 0.999327426 , abnormal 
12141.37035 , 170.6908864 , 0.919749296 , 0.919749296 , 54228462.62 , -142962.7419 , 7.046690427 , 0.000585882 , 8.09039859 , 0.328912173 , 0.254512695 , 0.003736829 , 12234.61585 , 211.3156285 , 46453.32143 , 5.472377931 , 170.6908864 , 2.958998423 , -0.315483144 , 0.975274531 , 0.974649617 , 0.997567108 , abnormal 
15234.33704 , 44.21526673 , 0.984981527 , 0.984981527 , 118022841 , -19201.40847 , 3.592631746 , 0.000666197 , 7.902822762 , 0.410160437 , 0.335612084 , 0.003583186 , 15253.30508 , 234.8146797 , 58325.5383 , 5.725376913 , 44.21526673 , 2.354359235 , -0.431529006 , 0.993431353 , 0.986561924 , 0.999350511 , abnormal 
