SRE,LRE,GLN,RLN,RP,LGRE,HGRE,SRLGE,SRHGE,LRLGE,LRHGE,class
0.07903501,22.01721291,2571.647375,2367.985764,7.567833835,0.452750376,46.31467042,0.043272301,4.498547182,9.033310911,914.3390814,abnormal
0.098575135,21.19596851,2536.922004,2895.983355,6.85853679,0.4275955,66.39842757,0.051514999,3.562074663,7.957871735,1719.568879,abnormal
0.080591368,20.06349438,1500.92269,2399.18054,4.92513922,0.34924356,202.2806961,0.031754628,15.16477951,6.805083437,3744.722763,abnormal
0.104029112,18.54124222,4536.833269,5312.24881,10.63477332,0.405959869,68.51885694,0.057233463,5.170957916,6.758183689,1435.63268,abnormal
0.089878154,18.67782504,2507.579714,4445.898077,6.809743779,0.319609865,236.1082126,0.034790939,17.60552261,5.502674629,5236.53449,abnormal
0.066855542,22.43279674,2284.593958,3979.101041,6.273388474,0.371963366,153.2070873,0.032687597,7.463165115,7.433438434,3547.695875,abnormal
0.097563126,15.75879807,1694.713604,3200.090683,5.174122807,0.359596118,202.6897845,0.040002286,17.39358964,5.149725205,3098.272807,abnormal
0.090028485,18.93717094,2426.28864,4130.914046,5.74953601,0.342961155,357.9713294,0.035362728,36.71414414,6.360032237,5553.247371,abnormal
0.158336896,15.20775446,803.0177994,1018.043296,3.727573529,0.385576999,147.0680219,0.081299959,17.64633701,5.402711201,2212.266251,abnormal
0.116805342,21.14725398,6370.377407,10233.17113,11.34558179,0.342270232,152.5687798,0.052850058,14.30148961,6.330638311,3563.75974,abnormal
0.158873059,13.6558826,2355.844427,2610.513236,6.061186225,0.436401788,144.1659865,0.095614035,16.39648444,5.212269086,1693.195966,abnormal
0.085316134,19.92909723,2690.9908,3431.040321,6.827674897,0.450266842,60.77321701,0.049602164,2.938785777,7.980130287,1411.129425,normal
0.070538561,18.56613426,1027.989847,1692.443215,3.712777429,0.426863377,186.2680068,0.036347544,10.51361823,7.106842298,3544.602445,normal
0.058124205,23.67408373,614.8091465,1065.89678,3.020232372,0.404936206,132.3963505,0.029619036,6.195853819,8.890891425,3121.309199,normal
0.151167141,12.98313207,611.2796071,1030.659547,2.93564515,0.363161914,255.7414609,0.07482926,23.83278887,3.848706879,3764.450809,normal
0.160672777,14.4023549,883.5840366,1290.803099,3.775710941,0.367587906,237.2284328,0.065352168,33.68174372,4.786467714,3647.529752,normal
0.069729682,18.34350864,952.1098297,2423.740724,4.051554569,0.370637369,118.8256753,0.031168766,6.904380672,6.2843183,2181.55368,normal
0.110426316,13.25242557,790.5156897,1363.097245,2.833453757,0.46177911,222.6762767,0.058212746,17.25329218,5.825547756,3242.769389,normal
0.145408061,13.0964652,565.9784556,975.3569549,2.822275501,0.359110457,261.7064028,0.07319492,24.53745621,3.784748423,3742.207939,normal
0.124889992,17.06962162,1910.322953,1808.661569,5.883856952,0.466461095,45.6066701,0.07480652,3.29074222,7.163490844,829.6553363,normal
0.099632029,19.95039851,1616.07206,1741.086126,5.463037634,0.44191098,52.73250907,0.054177519,3.772056743,8.302804858,1008.193651,normal
0.110037691,15.11433966,977.3063274,1440.732901,3.806845806,0.418043059,128.8150314,0.058239379,10.05523997,5.517493384,2325.546255,normal
0.111274987,16.4477048,861.921744,1606.880615,4.032415074,0.345636728,117.205087,0.050623828,9.371846373,5.156721279,2153.324803,normal
0.092908529,15.4843313,787.8464374,1797.158825,3.501453037,0.369080147,164.9531449,0.042798415,10.78747462,5.066778679,2676.758337,normal
0.1033259,17.38220826,992.0625203,1735.76586,3.863888889,0.369213077,198.8143553,0.040949929,15.53645741,6.014335207,3232.709044,normal
0.112410293,16.29436619,847.8336571,1539.591812,3.98409707,0.351842436,113.7841245,0.053071564,9.348422182,5.19309892,2082.488275,normal
0.152624195,11.8735878,812.2891539,1629.762392,3.753013129,0.370556075,125.3641149,0.081171831,14.31560294,3.612362262,1618.883039,normal
0.090004468,14.36191862,771.2008993,1720.751287,3.101351351,0.41224771,231.0943204,0.045753121,14.05131114,5.192616925,3968.565359,normal
0.109829653,13.5534953,828.4808753,1390.287952,2.909530387,0.45534969,231.2944515,0.055433298,17.91641975,5.95345652,3392.905318,normal
0.105158726,17.51321539,697.4033638,1529.818667,3.146847005,0.350508619,276.3424908,0.038174629,24.12440841,5.75475581,4782.179114,normal
0.145570013,17.14429439,1651.372081,3256.557856,4.877769886,0.278834839,515.2879672,0.05373917,52.8606795,4.286027015,7859.851129,normal
0.081345085,18.00892305,1253.561959,1703.604551,3.727037293,0.494141879,213.946254,0.048719748,13.45881925,8.356310243,3517.688403,normal
0.109475261,17.39964732,549.5275696,936.318943,2.512117347,0.372745909,371.2804428,0.04737468,26.36471493,6.187110551,6357.452641,normal
0.125330383,17.84645629,465.9531451,844.0798357,2.666092552,0.316187932,262.340319,0.049303578,25.81590907,5.309193677,4034.166019,normal
0.128486713,14.26516887,3116.738794,6451.815086,6.467417063,0.37506881,463.8282661,0.048623193,66.31026465,4.86991784,6505.017359,normal
0.142549215,16.98988884,378.250987,755.3707852,2.547697368,0.297552838,246.4893115,0.055100811,25.57437213,4.319268719,4720.954417,normal
0.079519983,17.57882656,3331.940469,4798.477271,8.393770937,0.436755292,36.78594523,0.043614132,2.107359926,6.746465533,711.1273589,normal
0.052511625,24.8672934,3839.999418,7788.509881,4.952119503,0.364025401,2379.439377,0.020665166,110.3684287,8.834043344,57039.83311,normal
0.098036192,18.46302715,2942.517448,3825.145309,6.263550885,0.41339524,195.8954981,0.05181644,13.76256558,7.24053352,3356.311317,normal
0.090036605,20.0491542,2099.385312,4672.302762,4.31582405,0.373294281,787.1907861,0.037882707,64.14474655,7.188932887,15436.95554,normal
0.195677351,11.02568376,187.4296842,582.5154445,1.503704897,0.274940613,732.4415321,0.058675379,233.1103411,3.008360963,7334.930751,normal
