@relation whatever

@attribute mean numeric
@attribute variance numeric
@attribute skewness numeric
@attribute kurtosis numeric
@attribute energy numeric
@attribute class { abnormal , normal } 


@data
4.744609938 , 1.546675514 , -0.735101251 , 3.664839368 , 0.275656244 , abnormal 
4.218996116 , 1.437759279 , 0.130074679 , 2.570935704 , 0.228356895 , abnormal 
4.308377288 , 1.451683126 , -0.175514809 , 2.863731658 , 0.237521169 , abnormal 
4.351516353 , 1.774687054 , -0.04206827 , 2.463178003 , 0.208275006 , abnormal 
4.787457446 , 0.9485913 , 0.201613189 , 3.552387114 , 0.301219592 , abnormal 
3.855607666 , 0.95453155 , -0.284813938 , 2.677511906 , 0.285053078 , abnormal 
4.014485294 , 1.458603201 , 0.11790716 , 2.787814132 , 0.233087282 , abnormal 
3.66689329 , 1.711239151 , -0.056235678 , 2.09893334 , 0.237451653 , abnormal 
4.581626844 , 1.829279425 , -0.884769197 , 3.528962266 , 0.259528392 , abnormal 
3.52185179 , 1.260968015 , 0.608630483 , 2.960962059 , 0.295879538 , abnormal 
4.601754475 , 0.898759644 , -0.301249375 , 4.846169013 , 0.355926141 , normal 
4.339832274 , 0.56818477 , 0.120467643 , 3.293273332 , 0.381863255 , normal 
4.838510848 , 0.692938348 , -0.268121528 , 3.291631341 , 0.33710777 , normal 
3.641168366 , 1.326847464 , 0.636858964 , 3.963082604 , 0.271697746 , normal 
3.624049099 , 2.147973094 , 0.577592347 , 3.926581677 , 0.221890349 , normal 
4.280476178 , 0.410317627 , -0.602748394 , 3.924511039 , 0.441031501 , normal 
3.693908918 , 0.489922804 , -0.243017413 , 5.442856079 , 0.442208087 , normal 
3.635716362 , 1.275754275 , 0.735231087 , 4.142319539 , 0.278815524 , normal 
4.098630215 , 1.391141422 , 0.055968264 , 3.059247197 , 0.245291855 , normal 
4.316048098 , 1.397049662 , -0.266390717 , 2.981622216 , 0.240993469 , normal 
3.984165687 , 1.381799803 , 0.472108252 , 3.263568472 , 0.252991102 , normal 
4.045505304 , 1.095868458 , -0.639429789 , 2.834665105 , 0.291231359 , normal 
3.994845639 , 0.377213286 , -1.106916711 , 7.224552261 , 0.577606857 , normal 
3.998558025 , 0.88088681 , -0.551336755 , 5.116438764 , 0.389497946 , normal 
4.029565728 , 1.11581301 , -0.628842065 , 2.739312988 , 0.288664065 , normal 
3.511229314 , 0.939843507 , 0.270975891 , 3.311689556 , 0.308402681 , normal 
4.018495252 , 0.356677648 , -0.012694245 , 4.99045629 , 0.520748584 , normal 
3.706113977 , 0.525333945 , -0.228047417 , 4.898536198 , 0.423901234 , normal 
4.017421119 , 1.171311377 , -0.751979137 , 3.409202001 , 0.29284826 , normal 
3.83964876 , 1.517841199 , -0.309057584 , 2.19434032 , 0.231814049 , normal 
4.1447758 , 0.407079405 , -0.150517591 , 5.975583589 , 0.499450634 , normal 
4.063697418 , 0.947499282 , -0.190865803 , 3.35487045 , 0.292615248 , normal 
3.876367962 , 1.39066278 , -0.347247858 , 2.251467687 , 0.246684823 , normal 
3.667749029 , 1.034094382 , -0.706980629 , 4.423274465 , 0.35998872 , normal 
4.079833795 , 1.926978366 , -0.092735123 , 3.097722485 , 0.224937872 , normal 
4.290395538 , 0.674861671 , -0.344363725 , 3.543195038 , 0.351330822 , normal 
4.788078641 , 0.627359423 , -0.888218906 , 7.392399171 , 0.515856199 , normal 
4.099085459 , 1.237760843 , 0.840472363 , 4.155069079 , 0.284734777 , normal 
4.283016209 , 1.126797256 , -1.164717372 , 4.624328604 , 0.336791207 , normal 
2.963253268 , 1.436820578 , -0.253684518 , 2.096840069 , 0.239300412 , normal 
